dB, PKT_ID, RSSI
0, 0, -79.5
0, 1, -80.0
0, 2, -79.5
0, 3, -79.5
0, 4, -79.0
0, 5, -79.0
0, 6, -78.5
0, 7, -79.0
0, 8, -79.5
0, 9, -80.0
0, 10, -79.5
0, 11, -78.5
0, 12, -78.0
0, 13, -78.5
0, 14, -80.0
0, 15, -79.5
0, 16, -78.0
0, 17, -79.0
0, 18, -79.5
0, 19, -79.5
0, 20, -80.0
0, 21, -79.0
0, 22, -80.0
0, 23, -79.0
0, 24, -80.0
0, 25, -79.0
0, 26, -78.0
0, 27, -79.0
0, 28, -80.0
0, 29, -78.0
0, 30, -78.0
0, 31, -78.0
0, 32, -78.0
0, 33, -79.0
0, 34, -79.0
0, 35, -78.0
0, 36, -78.0
0, 37, -78.0
0, 38, -78.0
0, 39, -79.0
0, 40, -78.0
0, 41, -78.5
0, 42, -79.0
0, 43, -78.0
0, 44, -77.5
0, 45, -78.0
0, 46, -78.5
0, 47, -78.0
0, 49, -78.5
0, 50, -78.5
0, 51, -78.5
0, 52, -78.0
0, 53, -78.0
0, 54, -79.0
0, 55, -78.0
0, 56, -78.0
0, 57, -78.5
0, 58, -79.0
0, 59, -78.0
0, 60, -78.0
0, 61, -78.0
0, 62, -78.0
0, 63, -78.5
0, 64, -79.5
0, 65, -79.0
0, 66, -77.5
0, 67, -79.0
0, 68, -78.0
0, 69, -79.0
0, 70, -78.5
0, 71, -78.0
0, 72, -79.5
0, 73, -79.0
0, 74, -78.5
0, 75, -79.0
0, 76, -78.0
0, 77, -78.5
0, 78, -79.5
0, 79, -78.5
0, 80, -78.0
0, 81, -78.0
0, 82, -78.0
0, 83, -78.0
0, 84, -78.0
0, 85, -77.5
0, 86, -78.0
0, 87, -79.5
0, 88, -78.0
0, 89, -78.0
0, 90, -78.0
0, 91, -78.0
0, 92, -78.5
0, 93, -78.5
0, 94, -79.0
0, 95, -78.0
0, 96, -78.0
0, 97, -78.0
0, 98, -77.5
0, 99, -78.5
