dB, PKT_ID, RSSI
-20, 0, -79.5
-20, 1, -80.0
-20, 2, -79.5
-20, 3, -79.5
-20, 4, -79.0
-20, 5, -79.0
-20, 6, -78.5
-20, 7, -79.0
-20, 8, -79.5
-20, 9, -80.0
-20, 10, -79.5
-20, 11, -78.5
-20, 12, -78.0
-20, 13, -78.5
-20, 14, -80.0
-20, 15, -79.5
-20, 16, -78.0
-20, 17, -79.0
-20, 18, -79.5
-20, 19, -79.5
-20, 20, -80.0
-20, 21, -79.0
-20, 22, -80.0
-20, 23, -79.0
-20, 24, -80.0
-20, 25, -79.0
-20, 26, -78.0
-20, 27, -79.0
-20, 28, -80.0
-20, 29, -78.0
-20, 30, -78.0
-20, 31, -78.0
-20, 32, -78.0
-20, 33, -79.0
-20, 34, -79.0
-20, 35, -78.0
-20, 36, -78.0
-20, 37, -78.0
-20, 38, -78.0
-20, 39, -79.0
-20, 40, -78.0
-20, 41, -78.5
-20, 42, -79.0
-20, 43, -78.0
-20, 44, -77.5
-20, 45, -78.0
-20, 46, -78.5
-20, 47, -78.0
-20, 49, -78.5
-20, 50, -78.5
-20, 51, -78.5
-20, 52, -78.0
-20, 53, -78.0
-20, 54, -79.0
-20, 55, -78.0
-20, 56, -78.0
-20, 57, -78.5
-20, 58, -79.0
-20, 59, -78.0
-20, 60, -78.0
-20, 61, -78.0
-20, 62, -78.0
-20, 63, -78.5
-20, 64, -79.5
-20, 65, -79.0
-20, 66, -77.5
-20, 67, -79.0
-20, 68, -78.0
-20, 69, -79.0
-20, 70, -78.5
-20, 71, -78.0
-20, 72, -79.5
-20, 73, -79.0
-20, 74, -78.5
-20, 75, -79.0
-20, 76, -78.0
-20, 77, -78.5
-20, 78, -79.5
-20, 79, -78.5
-20, 80, -78.0
-20, 81, -78.0
-20, 82, -78.0
-20, 83, -78.0
-20, 84, -78.0
-20, 85, -77.5
-20, 86, -78.0
-20, 87, -79.5
-20, 88, -78.0
-20, 89, -78.0
-20, 90, -78.0
-20, 91, -78.0
-20, 92, -78.5
-20, 93, -78.5
-20, 94, -79.0
-20, 95, -78.0
-20, 96, -78.0
-20, 97, -78.0
-20, 98, -77.5
-20, 99, -78.5
